Make,Model,Vehicle Type
CHEVROLET,GMT-400,TRUCK
CHEVROLET,G-SERIES,TRUCK
CHEVROLET,HHR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,IMPALA,PASSENGER CAR
CHEVROLET,IMPALA LIMITED,PASSENGER CAR
CHEVROLET,LUMINA,PASSENGER CAR
CHEVROLET,MALIBU,PASSENGER CAR
CHEVROLET,MALIBU CLASSIC,PASSENGER CAR
CHEVROLET,METRO,PASSENGER CAR
CHEVROLET,MONTE CARLO,PASSENGER CAR
CHEVROLET,S-10 PICKUP,TRUCK
CHEVROLET,SILVERADO,TRUCK
CHEVROLET,SILVERADO HD,TRUCK
CHEVROLET,SILVERADO LD,TRUCK
CHEVROLET,SONIC,PASSENGER CAR
CHEVROLET,SPARK,PASSENGER CAR
CHEVROLET,SUBURBAN,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,TAHOE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,TRACKER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,TRAILBLAZER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,TRAVERSE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,TRAX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,UPLANDER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,VENTURE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHEVROLET,VOLT,PASSENGER CAR
CHONGQING ASTRONAUTIC BASHAN,CHONGQING ASTRONAUTIC BASHAN,MOTORCYCLE
CHRYSLER,200,PASSENGER CAR
CHRYSLER,300,PASSENGER CAR
CHRYSLER,300C,PASSENGER CAR
CHRYSLER,ASPEN,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHRYSLER,CIRRUS,PASSENGER CAR
CHRYSLER,CROSSFIRE,PASSENGER CAR
CHRYSLER,LEBARON,PASSENGER CAR
CHRYSLER,PACIFICA,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHRYSLER,PT CRUISER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHRYSLER,SEBRING,PASSENGER CAR
CHRYSLER,TOWN AND COUNTRY,MULTIPURPOSE PASSENGER VEHICLE (MPV)
CHRYSLER,VOYAGER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
DODG,D350,INCOMPLETE VEHICLE
DODG,RAMVAN,INCOMPLETE VEHICLE
DODGE,AVENGER,PASSENGER CAR
DODGE,CALIBER,PASSENGER CAR
DODGE,CARAVAN/GRAND CARAVAN,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LEXUS,ES,PASSENGER CAR
DODGE,CHALLENGER,PASSENGER CAR
DODGE,CHARGER,PASSENGER CAR
DODGE,DAKOTA,TRUCK
DODGE,DART,PASSENGER CAR
DODGE,D-SERIES,TRUCK
DODGE,DURANGO,MULTIPURPOSE PASSENGER VEHICLE (MPV)
DODGE,GRAND CARAVAN,MULTIPURPOSE PASSENGER VEHICLE (MPV)
DODGE,INTREPID,PASSENGER CAR
DODGE,JOURNEY,MULTIPURPOSE PASSENGER VEHICLE (MPV)
DODGE,MAGNUM,MULTIPURPOSE PASSENGER VEHICLE (MPV)
DODGE,NEON,PASSENGER CAR
DODGE,NITRO,MULTIPURPOSE PASSENGER VEHICLE (MPV)
DODGE,OMNI,PASSENGER CAR
DODGE,RAM,TRUCK
DODGE,RAM 50,TRUCK
DODGE,RAM VAN,TRUCK
DODGE,RAM WAGON,BUS
DODGE,RAM WAGON,MULTIPURPOSE PASSENGER VEHICLE (MPV)
DODGE,SPRINTER,TRUCK
DODGE,STRATUS,PASSENGER CAR
DODGE,W-SERIES,TRUCK
DUCATI,DIAVEL,MOTORCYCLE
DUCATI,"SCRAMBLER DESERT SLED, DUCATI SCRAMBLER 1100",MOTORCYCLE
FERRARI,308GTSI,PASSENGER CAR
FIAT,500,PASSENGER CAR
FORD,AEROSTAR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,ASPIRE,PASSENGER CAR
FORD,C-MAX,PASSENGER CAR
FORD,CONTOUR,PASSENGER CAR
FORD,CROWN VICTORIA,PASSENGER CAR
FORD,E-150,TRUCK
FORD,E-250,TRUCK
FORD,E-350,BUS
FORD,E-350,TRUCK
FORD,ECONOLINE,INCOMPLETE VEHICLE
FORD,EDGE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,ESCAPE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,ESCORT,PASSENGER CAR
FORD,EXCURSION,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,EXPEDITION,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,EXPEDITION EL,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,EXPEDITION MAX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KIA,FORTE,PASSENGER CAR
FORD,EXPLORER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
NISSAN,LEAF,PASSENGER CAR
FORD,EXPLORER SPORT TRAC,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,F150,TRUCK
FORD,F-150,TRUCK
FORD,F-150 HERITAGE,TRUCK
FORD,F-250,TRUCK
FORD,F350,INCOMPLETE VEHICLE
FORD,F-350,TRUCK
FORD,F350PU,INCOMPLETE VEHICLE
FORD,F800,INCOMPLETE VEHICLE
FORD,FIESTA,PASSENGER CAR
FORD,FLEX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,FOCUS,PASSENGER CAR
FORD,FREESTAR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,FREESTYLE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,FUSION,PASSENGER CAR
FORD,MUSTANG,PASSENGER CAR
FORD,RANGER,TRUCK
FORD,TAURUS,PASSENGER CAR
FORD,TAURUS X,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,TEMPO,PASSENGER CAR
FORD,THUNDERBIRD,PASSENGER CAR
FORD,TRANSIT,TRUCK
FORD,TRANSIT,BUS
FORD,TRANSIT CONNECT,TRUCK
FORD,WINDSTAR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
FORD,ZX2,PASSENGER CAR
GEO,METRO,PASSENGER CAR
GEO,PRIZM,PASSENGER CAR
GEO,TRACKER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
GMC,ACADIA,MULTIPURPOSE PASSENGER VEHICLE (MPV)
GMC,C6000,INCOMPLETE VEHICLE
GMC,CANYON,TRUCK
GMC,ENVOY,MULTIPURPOSE PASSENGER VEHICLE (MPV)
GMC,GMT-400,TRUCK
GMC,JIMMY UTILITY,MULTIPURPOSE PASSENGER VEHICLE (MPV)
GMC,S15 UTILITY,MULTIPURPOSE PASSENGER VEHICLE (MPV)
GMC,SAFARI,MULTIPURPOSE PASSENGER VEHICLE (MPV)
GMC,SAVANA,INCOMPLETE VEHICLE
GMC,SIERRA,TRUCK
GMC,SONOMA,TRUCK
GMC,SUBURBAN,MULTIPURPOSE PASSENGER VEHICLE (MPV)
GMC,TERRAIN,MULTIPURPOSE PASSENGER VEHICLE (MPV)
GMC,YUKON,MULTIPURPOSE PASSENGER VEHICLE (MPV)
NISSAN,VERSA,PASSENGER CAR
GMC,YUKON XL,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HARLEY DAVIDSON,DYNA FAT BOB,MOTORCYCLE
HARLEY DAVIDSON,DYNA SUPER GLIDE CUSTOM,MOTORCYCLE
HARLEY DAVIDSON,DYNA WIDE GLIDE,MOTORCYCLE
HARLEY DAVIDSON,ELECTRA GLIDE ULTRA CLASSIC SHRINE,MOTORCYCLE
HARLEY DAVIDSON,ELECTRA GLIDE ULTRA LIMITED,MOTORCYCLE
HARLEY DAVIDSON,FAT BOY,MOTORCYCLE
HARLEY DAVIDSON,FLFBS ANV / 115TH ANNIVERSARY FAT BOY 114,MOTORCYCLE
HARLEY DAVIDSON,FLHRC / ROAD KING CLASSIC,MOTORCYCLE
HARLEY DAVIDSON,FLHRCI / ROAD KING CLASSIC,MOTORCYCLE
HARLEY DAVIDSON,FLHTC / ELECTRA GLIDE CLASSIC,MOTORCYCLE
HARLEY DAVIDSON,FLHTCUI / ULTRA CLASSIC ELECTRA GLIDE,MOTORCYCLE
HARLEY DAVIDSON,FLHXS / STREET GLIDE SPECIAL,MOTORCYCLE
HARLEY DAVIDSON,FLSTC / HERITAGE SOFTAIL CLASSIC,MOTORCYCLE
HARLEY DAVIDSON,FLTRU / ROAD GLIDE ULTRA,MOTORCYCLE
HARLEY DAVIDSON,FLTRXS / ROAD GLIDE SPECIAL,MOTORCYCLE
HARLEY DAVIDSON,HERITAGE SOFTAIL CLASSIC,MOTORCYCLE
HARLEY DAVIDSON,NIGHT TRAIN,MOTORCYCLE
HARLEY DAVIDSON,POLICE ROAD KING,MOTORCYCLE
HARLEY DAVIDSON,SOFTAIL DEUCE,MOTORCYCLE
HARLEY DAVIDSON,SOFTAIL SLIM,MOTORCYCLE
HARLEY DAVIDSON,SOFTAIL SPRINGER CLASSIC,MOTORCYCLE
HARLEY DAVIDSON,SOFTAIL STANDARD,MOTORCYCLE
HARLEY DAVIDSON,SPORTSTER 883 CUSTOM,MOTORCYCLE
HARLEY DAVIDSON,STREET GLIDE,MOTORCYCLE
HARLEY DAVIDSON,STREET GLIDE SPECIAL,MOTORCYCLE
HONDA,ACCORD,PASSENGER CAR
FORD,R10PU,TRUCK
HONDA,ACCORD CROSSTOUR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HONDA,CB250 (NIGHTHAWK),MOTORCYCLE
HONDA,CB500,MOTORCYCLE
HONDA,CIV2D,PASSENGER CAR
HONDA,CIVIC,PASSENGER CAR
HONDA,CRF1000,MOTORCYCLE
HONDA,CRF1000 (AFRICA TWIN),MOTORCYCLE
HONDA,CRF230,MOTORCYCLE
HONDA,CROSSTOUR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HONDA,CR-V,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HONDA,DEL SOL,PASSENGER CAR
HONDA,ELEMENT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HONDA,FIT,PASSENGER CAR
HONDA,GL1800,MOTORCYCLE
HONDA,HR-V,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HONDA,INSIGHT,PASSENGER CAR
HONDA,MSX125 (GROM),MOTORCYCLE
HONDA,NPS50 (RUCKUS),MOTORCYCLE
HONDA,ODYSSEY,PASSENGER CAR
HONDA,ODYSSEY,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HONDA,PASSPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HONDA,PILOT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HONDA,PRELUDE,PASSENGER CAR
HONDA,RIDGELINE,TRUCK
HONDA,VT1100C2 (SHADOW SABRE),MOTORCYCLE
HONDA,VT750 (SHADOW SPIRIT 750),MOTORCYCLE
HONDA,XR250L,MOTORCYCLE
HONDA,XR650,MOTORCYCLE
HUMMER,H2,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HUMMER,H3,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HYUNDAI,ACCENT,PASSENGER CAR
HYUNDAI,ELANTRA,PASSENGER CAR
HYUNDAI,ELANTRA GT,PASSENGER CAR
HYUNDAI,ELANTRA TOURING,PASSENGER CAR
HYUNDAI,ENTOURAGE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HYUNDAI,GENESIS,PASSENGER CAR
HYUNDAI,GENESIS COUPE,PASSENGER CAR
HYUNDAI,IONIQ,PASSENGER CAR
HYUNDAI,KONA,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HYUNDAI,SANTA FE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HYUNDAI,SANTA FE SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HYUNDAI,SONATA,PASSENGER CAR
HYUNDAI,TIBURON,PASSENGER CAR
HYUNDAI,TUCSON,MULTIPURPOSE PASSENGER VEHICLE (MPV)
HYUNDAI,VELOSTER,PASSENGER CAR
HYUNDAI,VERACRUZ,MULTIPURPOSE PASSENGER VEHICLE (MPV)
INDIAN MOTORCYCLE,SCOUT BOBBER ABS,MOTORCYCLE
INFINITI,FX35,MULTIPURPOSE PASSENGER VEHICLE (MPV)
INFINITI,FX50,MULTIPURPOSE PASSENGER VEHICLE (MPV)
INFINITI,G35,PASSENGER CAR
INFINITI,G37,PASSENGER CAR
INFINITI,M35,PASSENGER CAR
INFINITI,M37,PASSENGER CAR
INFINITI,Q40,PASSENGER CAR
INFINITI,Q50,PASSENGER CAR
INFINITI,Q60,PASSENGER CAR
INFINITI,QX4,MULTIPURPOSE PASSENGER VEHICLE (MPV)
INFINITI,QX50,PASSENGER CAR
INFINITI,QX50,MULTIPURPOSE PASSENGER VEHICLE (MPV)
INFINITI,QX60,MULTIPURPOSE PASSENGER VEHICLE (MPV)
ISUZU,PICKUP,TRUCK
ISUZU,TROOPER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
ISUZU,VAN,INCOMPLETE VEHICLE
JAGUAR,F-PACE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JAGUAR,XF,PASSENGER CAR
JAGUAR,XJ,PASSENGER CAR
JAGUAR,XJ6,PASSENGER CAR
JAGUAR,XJS,PASSENGER CAR
JAGUAR,X-TYPE,PASSENGER CAR
JEEP,CHEROKEE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JEEP,CJ-7,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JEEP,COMANCHE,TRUCK
JEEP,COMMANDER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JEEP,COMPASS,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KIA,OPTIMA,PASSENGER CAR
JEEP,GLADIATOR,TRUCK
JEEP,GRAND CHEROKEE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JEEP,GRAND WAGONEER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JEEP,LIBERTY,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JEEP,PATRIOT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JEEP,RENEGADE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
JEEP,WRANGLER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
TESLA,MODEL 3,PASSENGER CAR
JEEP,WRANGLER JK,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KAWASAKI,KLR650,MOTORCYCLE
KAWASAKI,VULCAN 1500,MOTORCYCLE
KAWASAKI,Z125 PRO,MOTORCYCLE
KIA,BORREGO,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KIA,NIRO,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KIA,RIO,PASSENGER CAR
KIA,SEDONA,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KIA,SEPHIA II/SPECTRA,PASSENGER CAR
KIA,SORENTO,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KIA,SOUL,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KIA,SPECTRA,PASSENGER CAR
KIA,SPECTRA LD,PASSENGER CAR
KIA,SPORTAGE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KIA,STINGER,PASSENGER CAR
KIA,TELLURIDE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
KTM,ENDURO FOUR-STROKE,MOTORCYCLE
KTM,ENDURO TWO-STROKE,MOTORCYCLE
KTM,SUPER ENDURO,MOTORCYCLE
LAND ROVER,DEFEN,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,DISCOVERY,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,DISCOVERY SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,LR2,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,LR3,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,LR4,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,RANGE ROVER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,RANGE ROVER EVOQUE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,RANGE ROVER SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LAND ROVER,RANGE ROVER VELAR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LEXUS,CT,PASSENGER CAR
LEXUS,GS,PASSENGER CAR
LEXUS,GX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LEXUS,HS,PASSENGER CAR
LEXUS,IS,PASSENGER CAR
LEXUS,LS,PASSENGER CAR
LEXUS,LX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LEXUS,NX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LEXUS,RX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LEXUS,SC,PASSENGER CAR
LINCOLN,CONTINENTAL,PASSENGER CAR
LINCOLN,LS,PASSENGER CAR
LINCOLN,MARK,PASSENGER CAR
LINCOLN,MKS,PASSENGER CAR
LINCOLN,MKT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LINCOLN,MKX,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LINCOLN,MKZ,PASSENGER CAR
LINCOLN,NAVIGATOR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
LINCOLN,TOWN CAR,PASSENGER CAR
MASERATI,GHIBLI,PASSENGER CAR
MASERATI,GRANTURISMO,PASSENGER CAR
MAZDA,626,PASSENGER CAR
MAZDA,929,PASSENGER CAR
MAZDA,B-SERIES,TRUCK
MAZDA,CX-3,PASSENGER CAR
MAZDA,CX-5,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MAZDA,CX-7,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MAZDA,CX-9,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MAZDA,MAZDA2,PASSENGER CAR
MAZDA,MAZDA3,PASSENGER CAR
MAZDA,MAZDA6,PASSENGER CAR
MAZDA,MILLENIA,PASSENGER CAR
MAZDA,MPV,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MAZDA,MX-5,PASSENGER CAR
MAZDA,PROTEGE,PASSENGER CAR
MAZDA,TRIBUTE,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCEDES-BENZ,CLA-CLASS,PASSENGER CAR
MERCEDES-BENZ,190,PASSENGER CAR
MERCEDES-BENZ,300,PASSENGER CAR
MERCEDES-BENZ,380,PASSENGER CAR
MERCEDES-BENZ,420,PASSENGER CAR
MERCEDES-BENZ,AMG GT,PASSENGER CAR
MERCEDES-BENZ,C-CLASS,PASSENGER CAR
MERCEDES-BENZ,CLK-CLASS,PASSENGER CAR
MERCEDES-BENZ,E-CLASS,PASSENGER CAR
MERCEDES-BENZ,GLA-CLASS,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCEDES-BENZ,GLC-CLASS,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCEDES-BENZ,GL-CLASS,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCEDES-BENZ,GLE-CLASS,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCEDES-BENZ,M-CLASS,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCEDES-BENZ,ML-CLASS,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCEDES-BENZ,R-CLASS,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCEDES-BENZ,S-CLASS,PASSENGER CAR
MERCEDES-BENZ,SLK-CLASS,PASSENGER CAR
MERCEDES-BENZ,SPRINTER,TRUCK
MERCURY,COUGAR,PASSENGER CAR
MERCURY,GRAND MARQUIS,PASSENGER CAR
MERCURY,MARINER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCURY,MILAN,PASSENGER CAR
MERCURY,MONTEGO,PASSENGER CAR
MERCURY,MOUNTAINEER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MERCURY,SABLE,PASSENGER CAR
MERCURY,TRACER,PASSENGER CAR
MERCURY,VILLAGER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MINI,COOPER,PASSENGER CAR
MINI,COOPER COUPE,PASSENGER CAR
MINI,COUNTRYMAN,PASSENGER CAR
MINI,COUNTRYMAN,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MINI,HARDTOP,PASSENGER CAR
MINI,PACEMAN,PASSENGER CAR
MITSUBISHI,3000 GT,PASSENGER CAR
MITSUBISHI,ECLIPSE,PASSENGER CAR
MITSUBISHI,ENDEAVOR,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MITSUBISHI,GALANT,PASSENGER CAR
MITSUBISHI,LANCER,PASSENGER CAR
MITSUBISHI,LANCER EVOLUTION,PASSENGER CAR
MITSUBISHI,MIRAGE,PASSENGER CAR
MITSUBISHI,MIRAGE G4,PASSENGER CAR
MITSUBISHI,MONTERO,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MITSUBISHI,MONTERO SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MITSUBISHI,OUTLANDER,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MITSUBISHI,OUTLANDER SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV)
MITSUBISHI,RAIDER,TRUCK
